datetime,date,temp,humidity,precip,conditions
2020-07-18 00:00:00,2020-07-18,24.1,94.72,0.0,Overcast
2020-07-18 01:00:00,2020-07-18,24.2,95.88,0.0,Overcast
2020-07-18 02:00:00,2020-07-18,24.2,100.0,0.0,Overcast
2020-07-18 03:00:00,2020-07-18,24.4,97.04,0.0,Overcast
2020-07-18 04:00:00,2020-07-18,24.6,97.05,0.0,Overcast
2020-07-18 05:00:00,2020-07-18,24.4,100.0,0.0,Overcast
2020-07-18 06:00:00,2020-07-18,25.2,95.91,0.0,Overcast
2020-07-18 07:00:00,2020-07-18,25.5,94.78,0.0,Overcast
2020-07-18 08:00:00,2020-07-18,24.9,100.0,0.5,"Rain, Overcast"
2020-07-18 09:00:00,2020-07-18,25.5,95.34,0.0,Overcast
2020-07-18 10:00:00,2020-07-18,26.8,91.51,0.0,Overcast
2020-07-18 11:00:00,2020-07-18,27.7,91.56,0.0,Overcast
2020-07-18 12:00:00,2020-07-18,27.1,91.52,0.0,Overcast
2020-07-18 13:00:00,2020-07-18,27.9,88.38,0.0,Overcast
2020-07-18 14:00:00,2020-07-18,28.2,93.77,0.1,"Rain, Overcast"
2020-07-18 15:00:00,2020-07-18,28.5,86.36,0.0,Overcast
2020-07-18 16:00:00,2020-07-18,28.8,85.88,0.0,Overcast
2020-07-18 17:00:00,2020-07-18,28.4,96.0,0.0,Overcast
2020-07-18 18:00:00,2020-07-18,27.9,89.43,0.0,Overcast
2020-07-18 19:00:00,2020-07-18,28.0,89.44,0.0,Overcast
2020-07-18 20:00:00,2020-07-18,26.9,100.0,1.0,"Rain, Overcast"
2020-07-18 21:00:00,2020-07-18,27.4,92.09,0.0,Overcast
2020-07-18 22:00:00,2020-07-18,27.1,93.17,0.0,Overcast
2020-07-18 23:00:00,2020-07-18,26.2,100.0,4.0,"Rain, Overcast"
2020-07-19 00:00:00,2020-07-19,27.4,92.63,0.0,Overcast
2020-07-19 01:00:00,2020-07-19,26.7,94.82,0.0,Overcast
2020-07-19 02:00:00,2020-07-19,25.7,100.0,0.0,Overcast
2020-07-19 03:00:00,2020-07-19,26.9,94.27,0.0,Overcast
2020-07-19 04:00:00,2020-07-19,26.4,95.94,0.0,Overcast
2020-07-19 05:00:00,2020-07-19,25.7,100.0,0.8,"Rain, Overcast"
2020-07-19 06:00:00,2020-07-19,27.3,88.33,0.0,Overcast
2020-07-19 07:00:00,2020-07-19,27.7,85.26,0.0,Overcast
2020-07-19 08:00:00,2020-07-19,26.2,100.0,0.0,Overcast
2020-07-19 09:00:00,2020-07-19,28.5,82.35,0.0,Overcast
2020-07-19 10:00:00,2020-07-19,30.0,75.97,0.0,Overcast
2020-07-19 11:00:00,2020-07-19,30.7,73.41,1.0,"Rain, Overcast"
2020-07-19 12:00:00,2020-07-19,30.6,76.96,0.0,Overcast
2020-07-19 13:00:00,2020-07-19,31.0,75.67,0.0,Overcast
2020-07-19 14:00:00,2020-07-19,32.4,75.0,0.0,Overcast
2020-07-19 15:00:00,2020-07-19,30.8,75.19,0.0,Overcast
2020-07-19 16:00:00,2020-07-19,29.5,78.65,0.0,Overcast
2020-07-19 17:00:00,2020-07-19,24.9,97.05,5.0,"Rain, Overcast"
2020-07-19 18:00:00,2020-07-19,27.6,85.25,0.0,Overcast
2020-07-19 19:00:00,2020-07-19,26.8,87.24,0.0,Overcast
2020-07-19 20:00:00,2020-07-19,23.7,98.21,0.0,Overcast
2020-07-19 21:00:00,2020-07-19,25.2,92.52,0.0,Overcast
2020-07-19 22:00:00,2020-07-19,24.9,91.94,0.0,Overcast
2020-07-19 23:00:00,2020-07-19,23.4,98.8,3.0,"Rain, Overcast"
2020-07-20 00:00:00,2020-07-20,24.6,92.48,0.0,Overcast
2020-07-20 01:00:00,2020-07-20,24.2,93.02,0.0,Overcast
2020-07-20 02:00:00,2020-07-20,22.9,98.79,0.0,Overcast
2020-07-20 03:00:00,2020-07-20,24.0,93.58,0.0,Overcast
2020-07-20 04:00:00,2020-07-20,23.8,94.71,0.0,Overcast
2020-07-20 05:00:00,2020-07-20,22.6,100.0,10.0,"Rain, Overcast"
2020-07-20 06:00:00,2020-07-20,24.3,91.35,0.0,Overcast
2020-07-20 07:00:00,2020-07-20,24.1,93.02,0.0,Overcast
2020-07-20 08:00:00,2020-07-20,22.4,100.0,20.0,"Rain, Overcast"
2020-07-20 09:00:00,2020-07-20,23.7,96.44,0.0,Overcast
2020-07-20 10:00:00,2020-07-20,24.2,93.02,0.0,Overcast
2020-07-20 11:00:00,2020-07-20,24.7,88.65,0.0,Overcast
2020-07-20 12:00:00,2020-07-20,24.5,88.1,0.0,Overcast
